Team,2024,2025,delta
McLaren,69.673,68.662,-1.011
Ferrari,70.582,69.34,-1.242
Mercedes,70.244,69.255,-0.989
Red Bull Racing,70.029,68.925,-1.104
Williams,70.653,69.505,-1.148
Aston Martin,70.633,69.63,-1.003
Kick Sauber,72.168,69.622,-2.546
Racing Bulls,70.955,69.208,-1.747
Haas,71.215,70.197,-1.018
Alpine,70.815,69.637,-1.178
